,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.5788535381239714,0.13661740558292282,0.48484848484848486,0.2131693569049449,0.5501074021823167
Decision Tree,0.674026330224904,0.21220159151193635,0.6526806526806527,0.32027452101801546,0.7180937262923586
Random Forest,0.8044432254525508,0.3099062918340027,0.5396270396270396,0.3937074829931973,0.7559450703684463
XGBoost,0.7877125617114646,0.2956161137440758,0.5815850815850816,0.391987431264729,0.7509783760949443
